Resolving deployment "notesflow-edittrich.vercel.app"
Fetching project "prj_LYg70onqwN73221nraUQg1tdFzpl"
Fetching logs...
TIME         HOST                            LEVEL                          STATUS  MESSAGE                             
12:55:07.85  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     ---     Failed to fetch notes: Error: Faile…
12:55:03.40  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:55:00.96  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:59.42  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:59.02  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:58.77  notesflow-edittrich.vercel.app  info     GET /                 307     (no message)                        
12:54:30.02  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:25.67  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:23.38  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:22.15  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:21.86  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:21.56  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:21.27  notesflow-edittrich.vercel.app  error  λ POST /api/graphql     200     Failed to fetch notes: Error: Faile…
12:54:21.24  notesflow-edittrich.vercel.app  info     GET /en/signup        307     (no message)                        
12:54:21.24  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:21.14  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:21.14  notesflow-edittrich.vercel.app  info     GET /en/dashboard     304     (no message)                        
12:54:20.91  notesflow-edittrich.vercel.app  info     GET /en/dashboard     200     (no message)                        
12:54:20.78  notesflow-edittrich.vercel.app  info     GET /en/signup        307     (no message)                        
12:54:20.77  notesflow-edittrich.vercel.app  info     GET /en/signup        307     (no message)                        
Fetched 20 logs for erik-dittrichs-projects/notesflow
